u,v,e_type,ts,u_type,v_type,e_idx
259,1229,4,874724727,1,2,1
259,1241,4,874724754,1,2,2
259,1128,4,874724781,1,2,3
259,1116,4,874724843,1,2,4
259,1231,3,874724905,1,2,5
259,1871,4,874724937,1,2,6
259,2017,3,874725264,1,2,7
851,1630,2,874728168,1,2,8
851,1639,3,874728338,1,2,9
851,1227,3,874728338,1,2,10
851,1238,5,874728370,1,2,11
851,1487,4,874728396,1,2,12
851,1416,4,874728396,1,2,13
851,1233,4,874728430,1,2,14
851,1090,4,874728461,1,2,15
851,1064,4,874728565,1,2,16
851,1660,3,874728598,1,2,17
712,1983,4,874729682,1,2,18
712,1163,5,874729682,1,2,19
712,1453,2,874729749,1,2,20
712,993,4,874729750,1,2,21
712,1360,4,874729750,1,2,22
712,1674,5,874729750,1,2,23
712,1566,4,874729778,1,2,24
712,1328,5,874729778,1,2,25
712,1040,5,874729816,1,2,26
712,1009,5,874729816,1,2,27
712,1039,5,874729850,1,2,28
712,1912,4,874729850,1,2,29
712,1496,5,874729850,1,2,30
712,1022,4,874729850,1,2,31
712,1124,5,874729901,1,2,32
712,1115,5,874729901,1,2,33
712,1116,5,874729901,1,2,34
712,1177,2,874729935,1,2,35
712,1364,4,874729935,1,2,36
712,985,1,874729935,1,2,37
712,1441,3,874729935,1,2,38
712,1682,4,874729935,1,2,39
712,1345,4,874729935,1,2,40
712,1366,3,874729960,1,2,41
712,1042,4,874729995,1,2,42
712,1635,5,874729995,1,2,43
712,1117,5,874729995,1,2,44
712,1335,5,874729996,1,2,45
712,2163,5,874729996,1,2,46
712,1755,4,874729996,1,2,47
712,1158,3,874730031,1,2,48
712,1145,4,874730031,1,2,49
712,1004,3,874730031,1,2,50
712,1025,5,874730031,1,2,51
712,1375,4,874730056,1,2,52
712,1689,4,874730085,1,2,53
712,1138,3,874730085,1,2,54
712,1405,3,874730085,1,2,55
712,1012,3,874730085,1,2,56
712,1719,4,874730155,1,2,57
712,1031,4,874730155,1,2,58
712,1998,4,874730155,1,2,59
712,1120,2,874730155,1,2,60
712,947,4,874730179,1,2,61
712,1181,3,874730206,1,2,62
712,1728,5,874730206,1,2,63
712,2412,4,874730206,1,2,64
712,1603,4,874730234,1,2,65
712,1362,3,874730234,1,2,66
712,1308,3,874730234,1,2,67
712,1528,4,874730234,1,2,68
712,2446,4,874730235,1,2,69
